fid,Id,feuille,surfac_m2,nature,surf2,perimeter,_cc_radius,_cc_area,_cc_circle_compacity,_comp_miller,_comp_gravelius,_convexity_default,elongation_rectangularity_width,elongation_rectangularity_height,elongation_rectangularity_elongation,elongation_rectangularity_rectangularity
"127","0",MM_unique,"5031",parcelles,5030.94,313.411693940367,54.382921,9291.266831,0.541,0.643,1.25,17.033,6796.728361,331.752685,20.487,54.672
"128","0",MM_unique,"2733",parcelles,2733.14,218.680077637204,39.858675,4991.092169,0.547,0.718,1.18,12.563,3037.833231,225.210738,13.489,40.301
"129","0",MM_unique,"581",parcelles,580.702,193.461029394252,47.580125,7112.152105,0.082,0.195,2.27,3.003,1158.550313,214.294731,5.406,6.115
"130","0",MM_unique,"6575",parcelles,6574.97,385.9299031378,78.110728,19167.754865,0.343,0.555,1.34,17.068,11706.054838,455.738288,25.686,43.926
"131","0",MM_unique,"4001",parcelles,4001.3,265.911827528211,50.975578,8163.458570,0.490,0.711,1.19,15.041,4736.986880,287.748724,16.462,43.075
"132","0",MM_unique,"2465",parcelles,2464.64,230.724820887519,42.549258,5687.662888,0.433,0.582,1.31,11.522,3807.716182,251.927283,15.114,32.596
"133","0",MM_unique,"3033",parcelles,3032.76,249.107754630276,44.788314,6302.013083,0.481,0.614,1.28,13.024,4182.994620,264.580577,15.810,37.895
"134","0",MM_unique,"19471",parcelles,19471.5,607.809080761696,99.420524,31052.886173,0.627,0.662,1.23,34.456,30475.572425,698.292006,43.643,111.251
"135","0",MM_unique,"4402",parcelles,4402.31,327.264359910559,69.888935,15344.993625,0.287,0.516,1.39,13.446,4666.846644,340.117290,13.721,32.443
"136","0",MM_unique,"10911",parcelles,10910.6,428.471570405182,84.633722,22502.809919,0.485,0.747,1.16,26.244,14610.317246,484.109764,30.180,85.794
"137","0",MM_unique,"4377",parcelles,4376.88,298.449758818101,57.021737,10214.821089,0.428,0.617,1.27,14.685,5260.428859,309.958968,16.971,41.764
"138","0",MM_unique,"2113",parcelles,2112.58,251.355610405589,54.193896,9226.789602,0.229,0.420,1.54,8.401,2175.588695,253.764385,8.573,19.841
"139","0",MM_unique,"2243",parcelles,2242.61,255.480080944972,54.849035,9451.219721,0.237,0.432,1.52,8.774,2270.466458,257.484754,8.818,20.826
"140","5",MM_unique,"28",bati,27.6994,21.0537244616014,3.723129,43.547781,0.636,0.785,1.13,1.315,27.699428,21.056649,1.315,5.153
"141","0",MM_unique,"425",parcelles,424.687,230.601743655243,54.156697,9214.127516,0.049,0.107,3.06,1.991,920.040373,233.154060,3.946,4.185
"142","0",MM_unique,"5896",parcelles,5895.54,357.150584548893,71.004777,15838.899483,0.372,0.581,1.31,16.500,6073.169951,361.771592,16.787,43.229
"143","0",MM_unique,"4162",parcelles,4161.68,290.240740653851,57.259777,10300.283634,0.404,0.621,1.27,14.333,4390.073950,295.938347,14.834,38.919
"144","0",MM_unique,"2141",parcelles,2140.7,255.497996039014,54.710069,9403.388930,0.228,0.412,1.56,8.437,2523.771281,262.616079,9.610,19.830
"145","0",MM_unique,"4032",parcelles,4031.88,289.365626081039,57.082160,10236.480697,0.394,0.605,1.29,13.994,4164.488679,293.265132,14.200,37.283
"146","0",MM_unique,"6067",parcelles,6067.32,365.398083572823,76.172567,18228.337230,0.333,0.571,1.32,16.633,6518.070373,380.763341,17.118,41.654
"147","0",MM_unique,"6232",parcelles,6232.19,366.688710139881,74.194164,17293.757702,0.360,0.582,1.31,16.990,6427.811624,374.076880,17.183,43.980
"148","5",MM_unique,"25",bati,24.8459,22.9093911922248,4.244343,56.594066,0.439,0.595,1.30,1.135,29.237641,23.224488,1.259,3.136
"149","0",MM_unique,"2561",parcelles,2561.44,301.026462215792,66.804455,14020.410244,0.183,0.355,1.68,8.506,2738.648116,306.154234,8.945,19.342
"150","0",MM_unique,"8460",parcelles,8459.79,554.564046683155,119.316704,44725.208186,0.189,0.346,1.70,15.586,11540.644256,570.176247,20.240,35.801
"151","0",MM_unique,"3911",parcelles,3911.28,286.241480215924,56.615252,10069.705349,0.388,0.600,1.29,13.659,4363.634467,296.293588,14.727,36.344
"152","0",MM_unique,"4504",parcelles,4503.73,318.738264908808,67.433880,14285.852661,0.315,0.557,1.34,14.154,5541.654977,346.054701,16.014,34.477
"153","5",MM_unique,"58",bati,57.9815,30.489417062381,5.550949,96.802009,0.599,0.784,1.13,1.901,61.531012,31.388799,1.960,7.187
"154","0",MM_unique,"626",parcelles,625.907,100.262240792355,18.694723,1097.963617,0.570,0.782,1.13,6.241,794.275204,113.046397,7.026,20.604
"155","0",MM_unique,"9269",parcelles,9268.89,503.875520245822,89.011570,24891.025858,0.372,0.459,1.48,20.259,17891.053513,544.306079,32.869,57.522
"156","0",MM_unique,"657",parcelles,656.704,99.8606959381272,18.143566,1034.177694,0.635,0.827,1.10,6.573,741.496308,109.309805,6.783,22.159
"157","0",MM_unique,"223",parcelles,222.996,74.6358070278521,15.295798,735.011537,0.303,0.503,1.41,2.988,392.248649,85.011460,4.614,7.697
"158","0",MM_unique,"9132",parcelles,9131.99,433.109563649619,73.397397,16924.318573,0.539,0.612,1.28,22.718,11694.037680,439.797110,26.590,70.324
"159","0",MM_unique,"3782",parcelles,3782.27,353.861114230023,75.514430,17914.709605,0.211,0.379,1.62,11.142,7195.244492,396.324758,18.155,25.160
"160","0",MM_unique,"2001",parcelles,2001.38,193.698684873449,35.040956,3857.463051,0.519,0.670,1.22,10.567,3104.092230,223.012903,13.919,34.596
"161","0",MM_unique,"752",parcelles,751.826,113.203391844095,20.885083,1370.320942,0.548,0.737,1.16,6.659,871.607575,118.117940,7.379,24.931
"162","0",MM_unique,"840",parcelles,840.419,120.781816013049,23.856402,1787.968049,0.470,0.724,1.18,6.959,1023.265491,131.499697,7.782,20.767
"163","0",MM_unique,"2094",parcelles,2094.08,200.643465558109,40.907466,5257.206409,0.398,0.653,1.24,10.432,3269.930999,231.354788,14.134,31.471
"164","0",MM_unique,"1247",parcelles,1247.32,162.226586640543,32.413709,3300.709753,0.378,0.595,1.30,7.748,2144.243126,185.441950,11.563,25.654
"165","5",MM_unique,"66",bati,66.0801,33.2450686302629,6.124315,117.832458,0.561,0.751,1.15,1.987,74.355440,34.867189,2.133,6.611
"166","0",MM_unique,"20957",parcelles,20956.7,731.081062959888,125.559405,49527.723869,0.423,0.493,1.42,33.448,34639.222077,745.148288,46.486,107.847
"167","5",MM_unique,"35",bati,34.984,23.6822475271472,4.197280,55.345940,0.632,0.784,1.13,1.477,36.592598,24.221701,1.511,5.525
"168","0",MM_unique,"9424",parcelles,9423.83,409.29245396005,75.708619,18006.965203,0.523,0.707,1.19,23.025,12189.208289,448.179452,27.197,71.838
"169","0",MM_unique,"449",parcelles,449.409,88.9193706845068,15.980953,802.334036,0.604,0.770,1.14,5.445,490.227802,89.487855,5.478,18.933
"170","0",MM_unique,"8633",parcelles,8632.78,450.924847613668,90.558473,25763.689214,0.335,0.533,1.37,19.604,10917.519869,473.749455,23.045,49.542
"171","0",MM_unique,"12593",parcelles,12593,532.860310013005,100.812149,31928.286722,0.394,0.557,1.34,24.908,19531.285606,565.484695,34.539,77.383
"172","0",MM_unique,"561",parcelles,561.215,109.206497854188,22.296072,1561.732264,0.359,0.591,1.30,5.137,680.981203,119.610852,5.693,12.607
"173","0",MM_unique,"18",parcelles,17.8947,17.3761434357932,3.222933,32.632656,0.548,0.745,1.16,1.029,18.736277,17.778835,1.054,3.280
"174","5",MM_unique,"13",bati,13.0162,15.3317907138443,2.861372,25.721627,0.506,0.696,1.20,0.849,13.016155,15.333898,0.849,2.537
"175","0",MM_unique,"8938",parcelles,8938.37,405.608192092522,74.098824,17249.340846,0.518,0.683,1.21,22.395,10361.055024,417.874760,24.795,69.824
"176","0",MM_unique,"7905",parcelles,7905.49,491.86220006845,81.898570,21071.842256,0.375,0.411,1.56,20.272,13056.097314,460.603121,28.346,61.067
"177","0",MM_unique,"18643",parcelles,18642.7,725.148314559255,114.742415,41361.649152,0.451,0.446,1.50,31.215,26355.361071,650.808701,40.496,107.495
"178","5",MM_unique,"26",bati,26.4476,21.1598140073478,3.842845,46.393332,0.570,0.742,1.16,1.249,26.447634,21.162712,1.250,4.047
"179","0",MM_unique,"24846",parcelles,24845.9,731.638304944732,125.393252,49396.730806,0.503,0.584,1.31,36.826,37207.178319,782.138408,47.571,109.256
"180","0",MM_unique,"643",parcelles,643.31,228.598391895192,54.534965,9343.292705,0.069,0.155,2.54,2.813,743.798719,231.778794,3.209,5.897
"181","0",MM_unique,"5504",parcelles,5503.94,314.219911229971,63.237919,12563.336996,0.438,0.700,1.19,17.580,6910.751791,351.481691,19.662,47.296
"182","0",MM_unique,"2165",parcelles,2164.58,261.893396658278,57.320222,10322.041480,0.210,0.396,1.59,8.262,2286.510123,267.527513,8.547,19.042
"183","0",MM_unique,"5667",parcelles,5666.72,364.433064207741,70.862145,15775.330496,0.359,0.536,1.37,15.894,11001.532676,434.026596,25.348,41.566
"184","0",MM_unique,"5821",parcelles,5821.07,389.765199286371,67.856004,14465.266472,0.402,0.481,1.44,17.087,10573.198474,425.108627,24.872,43.709
"185","0",MM_unique,"9684",parcelles,9684.03,443.078519798345,81.149540,20688.166404,0.468,0.620,1.27,23.314,11992.147042,453.329810,26.453,67.928
"186","0",MM_unique,"9416",parcelles,9416.13,416.251362801467,78.970381,19591.980352,0.480,0.683,1.21,22.621,10008.379440,424.785016,23.561,66.375
"187","0",MM_unique,"3258",parcelles,3258.03,238.614579857256,45.395134,6473.937089,0.503,0.719,1.18,13.648,3588.284540,250.039404,14.351,40.524
"188","0",MM_unique,"4156",parcelles,4155.67,264.835441261905,48.093508,7266.458215,0.575,0.749,1.16,15.791,4395.201348,269.121346,16.332,53.095
"189","0",MM_unique,"9994",parcelles,9994.3,488.197714025969,89.382876,25099.121631,0.398,0.527,1.38,22.194,18944.755584,550.622887,34.406,71.502
"190","0",MM_unique,"4173",parcelles,4173.02,258.864709350279,49.170992,7595.700273,0.549,0.782,1.13,16.114,4620.969514,277.515151,16.651,50.112
"191","0",MM_unique,"5247",parcelles,5246.74,393.398931877264,73.127761,16800.199074,0.312,0.426,1.53,14.481,9982.138128,415.084316,24.048,39.794
"192","5",MM_unique,"35",bati,35.373,23.8283350645424,4.311246,58.392288,0.606,0.783,1.13,1.484,36.950031,24.351380,1.517,5.506
"193","0",MM_unique,"7469",parcelles,7468.75,385.157185948504,71.678798,16141.031890,0.463,0.633,1.26,20.942,10325.904632,409.766789,25.199,64.693
"194","0",MM_unique,"4093",parcelles,4093,336.301899263768,60.692657,11572.366440,0.354,0.455,1.48,13.455,7291.655568,342.448278,21.293,44.594
"195","0",MM_unique,"4285",parcelles,4284.74,304.087615418356,53.861715,9114.025156,0.470,0.582,1.31,15.362,5886.446960,307.129929,19.166,53.679
"196","0",MM_unique,"1859",parcelles,1858.57,203.953355824147,37.463818,4409.343577,0.421,0.561,1.33,9.780,2385.177394,205.584581,11.602,27.564
"197","0",MM_unique,"3384",parcelles,3383.52,258.93757917499,50.469807,8002.269419,0.423,0.634,1.26,13.127,4159.327414,276.574163,15.039,35.957
"198","0",MM_unique,"7503",parcelles,7503.36,358.990651329699,63.168356,12535.712602,0.598,0.731,1.17,21.338,8442.167753,370.606924,22.779,71.731
"199","0",MM_unique,"15006",parcelles,15006.4,513.279956305781,90.903710,25960.502320,0.578,0.716,1.18,30.068,18143.204532,539.241339,33.646,106.897
"200","5",MM_unique,"28",bati,27.7984,21.5180757766583,3.879173,47.274629,0.588,0.754,1.15,1.291,27.798443,21.521042,1.292,4.307
"201","0",MM_unique,"2665",parcelles,2665.37,292.228825142514,63.787781,12782.766600,0.208,0.392,1.60,9.153,3548.653446,310.270488,11.437,20.941
"202","0",MM_unique,"2382",parcelles,2381.52,421.390790361858,83.860779,22093.659287,0.108,0.168,2.44,6.283,7759.348782,427.407045,18.154,14.228
"203","0",MM_unique,"2832",parcelles,2831.65,413.539317311299,81.817857,21030.329305,0.135,0.208,2.19,7.777,8642.580290,432.109872,20.001,17.362
"204","0",MM_unique,"2920",parcelles,2920.17,258.03317000023,53.966335,9149.465418,0.319,0.551,1.35,11.312,3437.459147,274.390375,12.528,28.014
"205","0",MM_unique,"3967",parcelles,3967.32,279.238361991281,50.911752,8143.028547,0.487,0.639,1.25,15.078,5543.656400,298.770672,18.555,49.186
"206","0",MM_unique,"4591",parcelles,4590.57,326.478315485464,62.853812,12411.181032,0.370,0.541,1.36,14.654,7661.534268,353.907412,21.648,45.266
"207","0",MM_unique,"4226",parcelles,4226.4,284.501308485646,47.904458,7209.443371,0.586,0.656,1.23,15.857,5443.109576,301.282278,18.066,46.693
"208","5",MM_unique,"36",bati,35.8307,24.5185642151786,4.434805,61.787257,0.580,0.749,1.16,1.461,35.830717,24.521942,1.461,4.805
"209","0",MM_unique,"6995",parcelles,6995.43,387.205385222295,78.060177,19142.952949,0.365,0.586,1.31,18.070,8768.664733,417.331039,21.011,46.518
"210","5",MM_unique,"34",bati,33.6918,23.6133014749673,4.244153,56.588994,0.595,0.759,1.15,1.426,33.691824,23.616519,1.427,4.823
"211","0",MM_unique,"4222",parcelles,4222.02,292.367277815652,54.964643,9491.103267,0.445,0.621,1.27,15.051,5203.741462,301.083001,17.283,43.620
"212","0",MM_unique,"6237",parcelles,6237.41,358.235323637938,74.761889,17559.429459,0.355,0.611,1.28,17.404,7684.718359,392.629481,19.572,43.815
"213","0",MM_unique,"5155",parcelles,5154.79,323.400651941833,64.251014,12969.100218,0.397,0.619,1.27,15.933,5556.999076,341.524662,16.271,40.575
"214","0",MM_unique,"9609",parcelles,9609.36,490.783450267422,102.708111,33140.522689,0.291,0.503,1.41,19.901,12295.069049,524.896739,23.424,47.877
"215","0",MM_unique,"12246",parcelles,12246.2,588.543532388606,107.281385,36157.518093,0.339,0.444,1.50,22.832,18903.801951,595.957409,31.720,59.321
"216","0",MM_unique,"3827",parcelles,3826.65,295.446621796485,61.725689,11969.658573,0.320,0.551,1.35,12.951,4901.268333,326.081017,15.031,31.031
"217","0",MM_unique,"1190",parcelles,1190.16,138.086727442199,25.928487,2112.050112,0.563,0.784,1.13,8.615,1312.497133,145.796296,9.002,29.412
"218","0",MM_unique,"1166",parcelles,1165.7,136.132941761212,24.268721,1850.306408,0.630,0.790,1.12,8.559,1237.071626,141.494417,8.743,29.771
"219","0",MM_unique,"1104",parcelles,1104.12,133.779549469088,25.222296,1998.568879,0.552,0.775,1.14,8.250,1324.698562,145.631189,9.096,29.578
"220","0",MM_unique,"10117",parcelles,10117.1,543.154038541409,96.905370,29501.599167,0.344,0.432,1.52,21.436,16264.447619,541.420036,30.040,56.158
"221","5",MM_unique,"103",bati,103.054,40.7924360471724,7.245910,164.943707,0.625,0.778,1.13,2.525,103.053970,40.798078,2.526,9.209
"222","5",MM_unique,"74",bati,73.6525,42.4302347368644,7.183637,162.120782,0.454,0.514,1.39,1.886,124.552534,45.126084,2.760,5.694
"223","0",MM_unique,"1753",parcelles,1752.93,168.82419812451,31.074251,3033.550467,0.578,0.773,1.14,10.491,2273.660246,190.910144,11.910,35.196
"224","0",MM_unique,"12310",parcelles,12309.5,563.220635443869,99.033350,30811.497941,0.402,0.490,1.43,23.813,18659.137004,570.364228,32.714,67.467
"225","0",MM_unique,"50312",parcelles,50311.8,1177.94776294569,194.234957,118523.552802,0.424,0.456,1.48,50.297,91000.433382,1232.500368,73.834,135.611
"226","0",MM_unique,"4064",parcelles,4063.59,270.990210850722,53.296289,8923.676510,0.455,0.695,1.20,14.995,4863.632331,292.472762,16.629,42.724
"227","0",MM_unique,"211",parcelles,211.142,94.3910394695534,21.231191,1416.115177,0.149,0.298,1.83,2.236,422.284151,104.353367,4.047,5.007
"228","0",MM_unique,"4188",parcelles,4188.01,266.464857845906,48.999271,7542.739552,0.555,0.741,1.16,15.710,4661.664752,279.563571,16.675,49.358
"229","0",MM_unique,"3097",parcelles,3097.22,248.787115624258,48.398768,7358.994594,0.421,0.629,1.26,12.446,3770.367398,267.717206,14.083,33.095
"230","0",MM_unique,"18957",parcelles,18957.3,742.437687201608,158.992830,79415.440724,0.239,0.433,1.52,26.249,25049.296681,778.622161,32.171,61.628
"231","0",MM_unique,"3717",parcelles,3717.11,331.597812729416,72.976047,16730.562616,0.222,0.425,1.53,11.207,4438.529329,352.719631,12.584,25.462
